at,score
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-21,
2019-12-22,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,1.1904761904761902
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,1.8761904761904762
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,1.3785714285714286
2020-08-21,1.3785714285714286
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,2.2857142857142856
2020-09-03,2.5714285714285716
2020-09-04,2.5
2020-09-05,2.5
2020-09-06,2.2857142857142856
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,2.1454545454545455
2020-10-22,2.1454545454545455
2020-10-23,2.116883116883117
2020-10-24,2.1311688311688313
2020-10-25,1.9168831168831169
2020-10-26,2.0597402597402596
2020-10-27,2.2285714285714286
2020-10-28,2.5142857142857147
2020-10-29,2.685714285714286
2020-10-30,2.757142857142857
2020-10-31,2.7142857142857144
2020-11-01,2.6999999999999997
2020-11-02,2.6523809523809523
2020-11-03,2.713605442176871
2020-11-04,2.5350340136054426
2020-11-05,2.5064625850340136
2020-11-06,2.435034013605442
2020-11-07,2.2636054421768708
2020-11-08,2.192176870748299
2020-11-09,2.2755102040816326
2020-11-10,2.2142857142857144
2020-11-11,2.1785714285714284
2020-11-12,2.1581632653061225
2020-11-13,2.193877551020408
2020-11-14,2.4081632653061225
2020-11-15,2.6581632653061225
2020-11-16,2.56530612244898
2020-11-17,2.517687074829932
2020-11-18,2.652607709750567
2020-11-19,2.565873015873016
2020-11-20,2.5301587301587305
2020-11-21,2.5444444444444443
2020-11-22,2.4611111111111112
2020-11-23,2.446825396825397
2020-11-24,2.3158730158730156
2020-11-25,2.3238095238095235
2020-11-26,2.323015873015873
2020-11-27,2.331419234360411
2020-11-28,2.3106400135811898
2020-11-29,2.2439733469145233
2020-11-30,2.181761365347703
2020-12-01,2.227679732694642
2020-12-02,2.1383940184089276
2020-12-03,2.1749019549168644
2020-12-04,2.175427165000898
2020-12-05,2.074777814351547
2020-12-06,2.0981544377281702
2020-12-07,2.038517679799192
2020-12-08,1.9874972716359272
2020-12-09,2.00535441449307
2020-12-10,1.8982115573502127
2020-12-11,1.9083306049692603
2020-12-12,1.8920968387354942
2020-12-13,1.9013732765833606
2020-12-14,1.9601968059951251
2020-12-15,1.9851401166527214
2020-12-16,1.9851401166527214
2020-12-17,2.087180932979252
2020-12-18,2.228847599645919
2020-12-19,2.3265099373082565
2020-12-20,2.3525870348139257
2020-12-21,2.383866213151928
2020-12-22,2.4397392290249433
2020-12-23,2.5689909297052154
2020-12-24,2.585997732426304
2020-12-25,2.458250479679051
2020-12-26,2.444282225710797
2020-12-27,2.404599686028257
2020-12-28,2.490967566513785
2020-12-29,2.468824709370928
2020-12-30,2.3713190404366875
2020-12-31,2.320952740070387
2021-01-01,2.5260809451985926
2021-01-02,2.4586206277382745
2021-01-03,2.506239675357322
2021-01-04,2.411935286935287
2021-01-05,2.447649572649573
2021-01-06,2.5335505997270706
2021-01-07,2.5655186316951024
2021-01-08,2.3559948221712927
2021-01-09,2.3397610559375264
2021-01-10,2.2207134368899077
2021-01-11,2.3496816908581617
2021-01-12,2.15325311942959
2021-01-13,2.089514416401209
2021-01-14,2.055191596364103
2021-01-15,2.142691596364103
2021-01-16,2.307734886407393
2021-01-17,2.448427527100034
2021-01-18,2.314498955671463
2021-01-19,2.5144989556714625
2021-01-20,2.510590599876314
2021-01-21,2.4264069264069263
2021-01-22,2.3531926406926407
2021-01-23,2.1788729128014843
2021-01-24,2.144696562835661
2021-01-25,2.2607679914070893
2021-01-26,2.302526233165331
2021-01-27,2.2299698421878875
2021-01-28,2.29782698504503
2021-01-29,2.3263984136164586
2021-01-30,2.425718141507615
2021-01-31,2.309397929212171
2021-02-01,2.2379693577835993
2021-02-02,2.181925401739643
2021-02-03,2.275910364145658
2021-02-04,2.3540616246498596
2021-02-05,2.3370548219287715
2021-02-06,2.3941976790716284
2021-02-07,2.374239695878351
2021-02-08,2.374239695878351
2021-02-09,2.4742396958783517
2021-02-10,2.3833306049692604
2021-02-11,2.3480364873222013
2021-02-12,2.388852813852814
2021-02-13,2.2650432900432897
2021-02-14,2.4194550547491724
2021-02-15,2.4035820388761566
2021-02-16,2.3729697939781973
2021-02-17,2.4386688008536743
2021-02-18,2.454541816726691
2021-02-19,2.403259765444639
2021-02-20,2.4917390281174505
2021-02-21,2.37707380719037
2021-02-22,2.409430339546902
2021-02-23,2.3392022483104076
2021-02-24,2.338096542870337
2021-02-25,2.394332370534736
2021-02-26,2.4439723856919926
2021-02-27,2.4740116415377003
2021-02-28,2.5482760867698873
2021-03-01,2.4829203898352428
2021-03-02,2.4603841025930735
2021-03-03,2.5670570349239
2021-03-04,2.506588403026697
2021-03-05,2.5188124497335025
2021-03-06,2.5088653597864123
2021-03-07,2.4484257993468517
2021-03-08,2.4462775716347145
2021-03-09,2.480851106208249
2021-03-10,2.458097649987051
2021-03-11,2.443736349911465
2021-03-12,2.280773386948502
2021-03-13,2.1650591012342164
2021-03-14,2.1552068844854477
2021-03-15,2.1982907847122055
2021-03-16,2.13280815922958
2021-03-17,1.96436703416999
2021-03-18,1.9099452654625069
2021-03-19,2.071850027367269
2021-03-20,2.0965753020925435
2021-03-21,2.2382956507094436
2021-03-22,2.1748035872173803
2021-03-23,2.1862321586459514
2021-03-24,2.3238553113553118
2021-03-25,2.3381410256410255
2021-03-26,2.2501858435681963
2021-03-27,2.4129605688429216
2021-03-28,2.3627250900360144
2021-03-29,2.5412965186074428
2021-03-30,2.6127250900360144
2021-03-31,2.5553271308523406
2021-04-01,2.541041416566627
2021-04-02,2.5778061224489797
2021-04-03,2.3903061224489797
2021-04-04,2.326530612244898
2021-04-05,2.1785714285714284
2021-04-06,2.166666666666667
2021-04-07,2.238095238095238
2021-04-08,2.2176870748299318
2021-04-09,2.133503401360544
2021-04-10,2.1760204081632653
2021-04-11,2.1510204081632653
2021-04-12,2.1120048019207682
2021-04-13,2.047719087635054
2021-04-14,1.958030580653314
2021-04-15,2.0048937703736462
2021-04-16,2.060716099305219
2021-04-17,2.004462828766234
2021-04-18,1.9856316599350652
2021-04-19,1.9642731165176985
2021-04-20,1.9782516111413544
2021-04-21,1.8740625671026865
2021-04-22,1.746767204513206
2021-04-23,1.7374301363526088
2021-04-24,1.7784773244586203
2021-04-25,1.7330227790040749
2021-04-26,1.7423765205006734
2021-04-27,1.7331599306389223
2021-04-28,1.7950881502026097
2021-04-29,1.809348399756977
2021-04-30,1.7577610981696752
2021-05-01,1.747731279790711
2021-05-02,1.7563027083621396
2021-05-03,1.6695680144845884
2021-05-04,1.6571456542361411
2021-05-05,1.6215505485631712
2021-05-06,1.5904835763197285
2021-05-07,1.5382857741219262
2021-05-08,1.5567189538454287
2021-05-09,1.6195760967025714
2021-05-10,1.6526448797713544
2021-05-11,1.579352954305516
2021-05-12,1.5502369090604387
2021-05-13,1.6143125393125395
2021-05-14,1.6372895622895622
2021-05-15,1.5584718282994143
2021-05-16,1.4801308144745298
2021-05-17,1.4655349378096876
2021-05-18,1.5512492235239732
2021-05-19,1.611451732879025
2021-05-20,1.6883467766108036
2021-05-21,1.7307254505684246
2021-05-22,1.7585227763953075
2021-05-23,1.8082923616487634
2021-05-24,1.8580012734266407
2021-05-25,1.8429636794416784
2021-05-26,1.7883590205120632
2021-05-27,1.7739639767802848
2021-05-28,1.7656323368696978
2021-05-29,1.7709384593186772
2021-05-30,1.7800293684095863
2021-05-31,1.872561835942054
2021-06-01,1.8935518108793972
2021-06-02,1.949813153892101
2021-06-03,1.8974063215939645
2021-06-04,1.9774014953391383
2021-06-05,1.9516872096248525
2021-06-06,1.9258715618579851
2021-06-07,1.9052671662535896
2021-06-08,1.8084056943921178
2021-06-09,1.837455591863068
2021-06-10,1.8623003123599624
2021-06-11,1.7819431695028194
2021-06-12,1.789332332064396
2021-06-13,1.8216414863247699
2021-06-14,1.7696268343101178
2021-06-15,1.8353258411855953
2021-06-16,1.7888323346920885
2021-06-17,1.7844244004103818
2021-06-18,1.7664133166665394
2021-06-19,1.805822183661613
2021-06-20,1.7575847068527077
2021-06-21,1.6873466116146125
2021-06-22,1.6879261537763046
2021-06-23,1.8038190109191619
2021-06-24,1.8268604855735397
2021-06-25,1.9017625949584076
2021-06-26,1.9229088162728376
2021-06-27,1.9922965713748784
2021-06-28,2.0701537142320214
2021-06-29,2.1102282715479577
2021-06-30,2.051142137094176
2021-07-01,2.058934344886384
2021-07-02,2.0213885573405967
2021-07-03,2.0588864833402645
2021-07-04,2.021419188730113
2021-07-05,1.992980650524133
2021-07-06,1.9529060932081965
2021-07-07,1.936099370519121
2021-07-08,1.8988953980210308
2021-07-09,1.9108001599257924
2021-07-10,1.8475657752628363
2021-07-11,1.866287793984855
2021-07-12,1.87272025316348
2021-07-13,1.8304814941235468
2021-07-14,1.8463545099965626
2021-07-15,1.863861512797683
2021-07-16,1.8504686556548258
2021-07-17,1.8608924423944022
2021-07-18,1.8598914413934011
2021-07-19,1.923087996611233
2021-07-20,1.9749197035381247
2021-07-21,1.9794548509304148
2021-07-22,1.9278675493431134
2021-07-23,1.9510006662262303
2021-07-24,1.9289813321768208
2021-07-25,1.921083824279313
2021-07-26,1.8862198787010818
2021-07-27,1.9065484779770492
2021-07-28,1.8950688861403147
2021-07-29,1.9638519549233835
2021-07-30,1.9207783618497902
2021-07-31,1.9901661169518314
2021-08-01,2.009646636432351
2021-08-02,1.9968915343915346
2021-08-03,2.0312830687830687
2021-08-04,2.0193149836766855
2021-08-05,2.0012688763448643
2021-08-06,2.0524593525353403
2021-08-07,1.993987591737998
2021-08-08,1.9706639765776484
2021-08-09,1.9818766011623659
2021-08-10,1.9046000765174202
2021-08-11,1.9004967330523748
2021-08-12,1.9074209313031036
2021-08-13,1.8441092429914152
2021-08-14,1.8707628219705756
2021-08-15,1.9429586175820535
2021-08-16,1.967840217921348
2021-08-17,2.020212528006906
2021-08-18,2.021860879655258
2021-08-19,2.0208890623569102
2021-08-20,2.0336055125733603
2021-08-21,2.044371062812595
2021-08-22,1.9890053758679607
2021-08-23,1.912567235600033
2021-08-24,1.9141154410891252
2021-08-25,1.905672664353666
2021-08-26,1.9072805802472959
2021-08-27,1.9774894014807072
2021-08-28,1.9586327360075002
2021-08-29,1.9757082530830172
2021-08-30,2.0274158047905693
2021-08-31,2.0389638386382543
2021-09-01,2.0707582637253625
2021-09-02,2.0303603637529943
2021-09-03,1.9669156117836522
2021-09-04,1.99712140479268
2021-09-05,1.9466234278241148
2021-09-06,1.9607699955421112
2021-09-07,1.9268592137783576
2021-09-08,1.9180723657057954
2021-09-09,1.9865222137301117
2021-09-10,1.9954894369830494
2021-09-11,1.948746947994817
2021-09-12,1.980091485809943
2021-09-13,1.958152710299739
2021-09-14,1.9699804333950677
2021-09-15,1.9441034159214112
2021-09-16,1.8926748444928398
2021-09-17,1.8525387900710713
2021-09-18,1.8658360950557829
2021-09-19,1.8585345077541955
2021-09-20,1.8858072350269228
2021-09-21,1.8722235214432092
2021-09-22,1.8714478265498673
2021-09-23,1.8847131326723165
2021-09-24,1.9247131326723164
2021-09-25,1.8987786650686438
2021-09-26,1.8894415969080463
2021-09-27,1.8258593458257952
2021-09-28,1.8492359692024183
2021-09-29,1.8549136248800742
2021-09-30,1.8743013799821147
2021-10-01,1.8620324724190898
2021-10-02,1.8993695963233779
2021-10-03,1.919384875162186
2021-10-04,1.9426244901571204
2021-10-05,1.944046877293793
2021-10-06,1.955951639198555
2021-10-07,1.9067572245906066
2021-10-08,1.9298197829472825
2021-10-09,1.8862910894185891
2021-10-10,1.8463731126585068
2021-10-11,1.8131226751527503
2021-10-12,1.796115872431662
2021-10-13,1.7571548334706228
2021-10-14,1.7759518259518259
2021-10-15,1.737188250346145
2021-10-16,1.7731772613351562
2021-10-17,1.8063852813852814
2021-10-18,1.8794137022397892
2021-10-19,1.8317946546207415
2021-10-20,1.8564699792960664
